n.name,n.cancer,n.preeclampsia,n.foldc_cancer,n.foldc_pre,n.regulated_cancer,n.regulated_pre
Tfg rCG_52996,0,1,null,0.348987579345703,null,up
Tes,0,1,null,0.422202110290527,null,up
Tbl2 LOC686610,0,1,null,0.509092648824055,null,up
Tapbp AA926063 B3galt4 Cdk2ap1-ps1 Col11a2 Daxx Hsd17b8 Kifc1 LOC224733l-1 LOC224733l-2 Phf1 Rps25-ps1 RT1-A1 RT1-A2 RT1-A3 RT1-DOa RT1-Hb RT1-Ke4 Rxrb Sacm2l-ps1 Sacm2l-ps2 Sec61-ps Syngap1 tapasin,0,1,null,0.535372098286949,null,up
Syvn1 LOC100910831,0,1,null,0.514344533284504,null,up
Syap1,0,1,null,-0.509501139322918,null,down
Stt3a,0,1,null,0.324538548787434,null,up
Stmn1,0,1,null,-0.550722440083824,null,down
Stk4,0,1,null,-0.370307922363281,null,down
Stk10,0,1,null,0.788845380147301,null,up
St6gal1 Siat1,0,1,null,0.911338170369469,null,up
Srm,0,1,null,0.351666768391926,null,up
Sptan1 Spna2,0,1,null,-0.286952336629231,null,down
Sparc,0,1,null,-0.329433759053551,null,down
Snx12,0,1,null,-0.368426322937012,null,down
Slc4a2 Ae2 B3rp2,0,1,null,-0.592634201049805,null,down
Slc38a4 Ata3 Snat4,0,1,null,0.428637186686196,null,up
Slc2a1,0,1,null,-0.326749165852867,null,down
Slc27a3,0,1,null,-0.741575558980305,null,down
Shmt2,0,1,null,0.346064885457359,null,up
Sh3bgrl1 Sh3bgrl Sh3bgrl_predicted rCG_38007,0,1,null,-0.803342183430988,null,down
Sgta Sgt Sgt1 Stg,0,1,null,0.268782297770183,null,up
Sgpl1 Spl,0,1,null,0.451155662536621,null,up
Sfn,0,1,null,0.337688446044922,null,up
Serpinh1,0,1,null,0.299797375996906,null,up
Serpinb9b RGD1562844,0,1,null,-1.00261084238688,null,down
Serpinb9,0,1,null,0.317842801411945,null,up
Serpina3l Spin2a,0,1,null,0.520268440246582,null,up
Septin5 Sept5,0,1,null,0.330323855082195,null,up
Sec63,0,1,null,0.277335166931152,null,up
Sec61a1 Sec61a,0,1,null,0.428006807963055,null,up
Sec31a,0,1,null,0.194966952006023,null,up
Sec11a Sec11l1 rCG_24868,0,1,null,0.271374384562172,null,up
Sdf2l1,0,1,null,0.444965998331707,null,up
Scarb2 Cd36l2 Limpii,0,1,null,-0.283773104349773,null,down
Scamp1,0,1,null,-0.345183054606117,null,down
Sbsn,0,1,null,0.44013277689616,null,up
Sars1 Sars,0,1,null,0.231417020161945,null,up
RT1-CE1 RT1-A2,0,1,null,0.495793342590332,null,up
Rps9,0,1,null,0.344180425008137,null,up
Rps6,0,1,null,0.303395589192711,null,up
Rps25l3 AABR07071294.1 Rps25,0,1,null,0.268403053283691,null,up
Rps15 Rig,0,1,null,-1.80103143056234,null,down
Rpl35,0,1,null,0.39696947733561,null,up
Rpl26,0,1,null,0.312461853027344,null,up
Rpl19,0,1,null,0.301905314127605,null,up
Rpl18a,0,1,null,0.382694562276203,null,up
Rpl13,0,1,null,0.22594610850016,null,up
Rpl11,0,1,null,0.274252891540527,null,up
Retsat,0,1,null,-0.512580235799156,null,down
Rbp1 Rbp-1,0,1,null,-0.81562836964925,null,down
Ralb Ral-b,0,1,null,0.266783396402996,null,up
Pygl Lgp,0,1,null,0.88057804107666,null,up
Pygb,0,1,null,0.596373558044434,null,up
Ptpn23,0,1,null,0.361359278361004,null,up
Psgb1,0,1,null,0.596274375915527,null,up
Psg29 LOC292666,0,1,null,0.961692810058594,null,up
Psg16 LOC308394,0,1,null,0.883140881856285,null,up
Prxl2a Fam213a Pamm Shp1,0,1,null,-0.826157251993813,null,down
Prss8,0,1,null,-0.354755401611328,null,down
